rating,shown,time,price,address,subway,minutes_to_subway,rooms,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,sqmeter_price
,,2022-08-02,6900000,"Санкт-Петербург, ул. Дыбенко, 11к1",Улица Дыбенко,20,2,44.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_89et._2489734699,8,9,156818.0
,,2022-08-02,7875000,"Санкт-Петербург, Народная ул., 39",Ломоносовская,30,2,44.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_25et._2457607170,2,5,178977.0
,,2022-08-02,8600000,"Санкт-Петербург, пр-т Тореза, 40к6",Площадь Мужества,20,3,56.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_56m_15et._2468779276,1,5,153571.0
,,2022-08-02,8900000,"Санкт-Петербург, Северный пр-т, 6к1",Озерки,15,3,60.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_609m_39et._2459137526,3,9,148333.0
,,2022-08-02,9700000,"Санкт-Петербург, Диагональная ул., 10",Лесная,10,3,57.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_57m_16et._2491609356,1,6,170175.0
,,2022-08-02,7420000,"Санкт-Петербург, пр-т Космонавтов, 30к4",Парк Победы,30,2,45.0,нет,косметический,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_15et._2462516220,1,5,164888.0
,,2022-08-02,9190000,"Санкт-Петербург, ул. Коллонтай, 47к2литО",Проспект Большевиков,30,2,55.0,лоджия,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_554m_1116et._2332858594,11,16,167090.0
,,2022-08-02,8600000,"Санкт-Петербург, Благодатная ул., 35",Электросила,10,3,57.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_572m_35et._2361812734,3,5,150877.0
,,2022-08-02,6400000,"Санкт-Петербург, 2-й Рабфаковский пер., 7к2",Обухово,15,2,42.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_15et._2419045544,1,5,152380.0
,,2022-08-02,9999999,"Санкт-Петербург, Краснопутиловская ул., 52",Московская,30,2,44.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446m_35et._2403763995,3,5,227272.0
,,2022-08-02,8190000,"Санкт-Петербург, Ленская ул., 19к2В",Проспект Большевиков,31,2,48.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_48m_712et._2366196293,7,12,170625.0
,,2022-08-02,9800000,"Санкт-Петербург, ул. Ярослава Гашека, 13к1",Дунайская,20,2,53.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_29et._2418183926,2,9,184905.0
,,23-июля-в-23:46,8750000,"Санкт-Петербург, аллея Поликарпова, 3к1",Пионерская,10,3,59.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59m_912et._2464710651,9,12,148305.0
,,23-июля-в-23:46,9500000,"Санкт-Петербург, пр-т Маршала Блюхера, 42",Академическая,31,2,48.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_488m_1112et._2368051824,11,12,197916.0
,,23-июля-в-22:38,10000000,"Санкт-Петербург, Парашютная ул., 58",Комендантский проспект,31,2,66.0,лоджия,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_66m_1221et._2456858546,12,21,151515.0
,,23-июля-в-22:16,9270000,"Санкт-Петербург, 2-й Муринский пр-т, 30",Площадь Мужества,15,2,52.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_527m_35et._2396809308,3,5,178269.0
,,23-июля-в-22:16,7500000,"Санкт-Петербург, ул. Партизана Германа, 28",Проспект Ветеранов,31,3,58.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_588m_45et._2403731383,4,5,129310.0
,,23-июля-в-22:09,7300000,"Санкт-Петербург, ул. Ушинского, 7к1",Гражданский проспект,15,2,44.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_15et._2461942669,1,5,165909.0
,,23-июля-в-22:03,8400000,"Санкт-Петербург, Народная ул., 2",Ломоносовская,15,2,50.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_79et._2391384481,7,9,168000.0
,,23-июля-в-21:19,6000000,"Санкт-Петербург, Крюкова ул., 13",Ладожская,31,2,44.0,балкон,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_35et._2483001171,3,5,136363.0
