,id,rating,time,price,sqmeter_price,address,subway,rooms,minutes_to_subway,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,shown
353,354,169.43064515923317,21-июля-в-18:46,8750000,126811,"Санкт-Петербург, ул. Турку, 11к1",Международная,3,10,69.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_69m_19et._2460930449,1,9,
354,355,165.95992864031786,21-июля-в-18:28,6500000,154761,"Санкт-Петербург, пр-т Космонавтов, 80",Звёздная,2,15,42.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_15et._2480867642,1,5,
355,356,183.47902726798128,21-июля-в-18:22,9400000,154098,"Санкт-Петербург, пр-т Стачек, 103к1",Проспект Ветеранов,3,30,61.0,лоджия,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_612m_59et._2483969803,5,9,
356,357,118.14067960295978,21-июля-в-18:21,9900000,152307,"Санкт-Петербург, Богатырский пр-т, 30к1",Комендантский проспект,3,30,65.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_659m_1116et._2406022668,11,16,
357,358,200.68126362673166,21-июля-в-17:53,5750000,140243,"Санкт-Петербург, Трамвайный пр-т, 21к2",Ленинский проспект,3,5,41.0,нет,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_416m_45et._2520240851,4,5,
358,359,215.66743753396042,21-июля-в-17:53,9200000,148387,"Санкт-Петербург, Бухарестская ул., 11",Бухарестская,3,10,62.0,нет,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_623m_35et._2520011865,3,5,
359,360,134.01858167057634,21-июля-в-16:36,10000000,185185,"Санкт-Петербург, Камышовая ул., 52к1",Беговая,2,31,54.0,лоджия,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_548m_16et._2437412203,1,6,
360,361,153.67670817500277,21-июля-в-16:23,8498000,157370,"Санкт-Петербург, Альпийский пер., 41",Проспект Славы,2,10,54.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54m_714et._2400637684,7,14,
361,362,196.85537955644617,21-июля-в-17:14,8700000,150000,"Санкт-Петербург, пр-т Луначарского, 42к2",Проспект Просвещения,3,10,58.0,балкон,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_58m_19et._2449489665,1,9,
362,363,153.55605099873,21-июля-в-17:07,7200000,133333,"Санкт-Петербург, ул. Маршала Захарова, 22к1",Проспект Ветеранов,2,31,54.0,лоджия,требует ремонта,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_543m_712et._2359290196,7,12,
363,364,163.48707691925324,21-июля-в-17:03,8500000,193181,"Санкт-Петербург, Софийская ул., 55",Проспект Славы,2,30,44.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_89et._2486887493,8,9,
364,365,212.46877154623706,21-июля-в-17:02,9200000,187755,"Санкт-Петербург, пр-т Науки, 4к1",Академическая,2,15,49.0,лоджия,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_49m_39et._2424421433,3,9,
365,366,187.7560770794162,21-июля-в-16:42,8280000,138000,"Санкт-Петербург, ул. Генерала Симоняка, 7",Проспект Ветеранов,3,31,60.0,лоджия,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_602m_49et._2078809572,4,9,
366,367,153.67670817500277,21-июля-в-16:23,8498000,157370,"Санкт-Петербург, Альпийский пер., 41",Проспект Славы,2,10,54.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54m_714et._2400637684,7,14,
